model,accuracy,precision,recall,f1,auc_roc,auc_roc_ci_lower,auc_roc_ci_upper,auc_pr,brier_score,log_loss,optimal_threshold
RandomForest,0.9427,0.0,0.0,0.0,0.5562,0.4224,0.6851,0.0722,0.078,0.308,0.2153
GradientBoosting,0.9406,0.0,0.0,0.0,0.5372,0.4183,0.6544,0.0623,0.0574,0.2632,0.0455
LogisticRegression,0.9045,0.087,0.0769,0.0816,0.5334,0.4153,0.6395,0.062,0.0828,0.4022,0.0076
SVM,0.9448,0.0,0.0,0.0,0.5981,0.499,0.6874,0.0646,0.0552,0.679,0.0
XGBoost,0.9321,0.0,0.0,0.0,0.5496,0.4185,0.6754,0.0671,0.0607,0.2588,0.0602
